07-17-2014-00:00,36.68,2.87
07-17-2014-12:00,34.26,2.77
07-18-2014-00:00,35.95,2.79
07-18-2014-12:00,36.83,2.76
07-19-2014-00:00,35.61,2.61
07-19-2014-12:00,36.80,2.79
07-20-2014-00:00,35.22,2.81
07-20-2014-12:00,37.01,2.84
07-21-2014-00:00,35.99,2.77
07-21-2014-06:00,34.88,2.81
07-21-2014-12:00,38.99,2.79
06-21-2014-15:00,35.51,2.76
07-21-2014-18:00,33.58,2.77
07-21-2014-19:00,35.15,2.77
07-21-2014-20:00,34.70,2.79
07-21-2014-21:00,35.71,2.85
07-21-2014-22:00,38.29,2.81
07-21-2014-23:00,37.33,2.75
07-22-2014-00:00,35.15,2.78
07-22-2014-01:00,35.72,2.80
07-22-2014-02:00,37.27,2.81
07-22-2014-03:00,32.85,2.85
07-22-2014-04:00,35.95,2.82
07-22-2014-05:00,34.83,2.81
07-22-2014-06:00,36.19,2.80
07-22-2014-07:00,35.51,2.82
07-22-2014-08:00,34.73,2.79
07-22-2014-09:00,36.18,2.80
07-22-2014-10:00,39.23,2.80
07-22-2014-11:00,35.72,2.81
07-22-2014-12:00,35.91,2.79
07-22-2014-13:00,34.84,2.70
07-22-2014-14:00,37.98,2.85
07-22-2014-15:00,39.85,2.81
07-22-2014-21:16,36.80,2.67
07-22-2014-22:00,28.23,1.34
07-22-2014-22:06,47.07,2.87
07-22-2014-22:08,44.48,2.80
07-22-2014-23:00,34.45,2.74
07-23-2014-00:00,35.44,2.74
07-23-2014-11:00,35.57,2.73
07-23-2014-12:00,35.74,2.78
07-23-2014-13:00,37.01,2.82
07-23-2014-14:00,36.03,2.79
07-23-2014-15:00,37.05,2.80
07-23-2014-16:00,37.71,2.71
07-23-2014-17:00,36.62,2.73
07-24-2014-00:17,47.22,2.90
07-24-2014-01:00,36.44,2.80
07-24-2014-02:00,36.69,2.76
07-24-2014-03:00,36.15,2.80
07-24-2014-04:00,36.40,2.72
07-24-2014-05:00,37.48,2.80
07-24-2014-06:00,35.71,2.79
07-24-2014-07:00,35.77,2.80
07-24-2014-08:00,35.63,2.81
07-24-2014-09:00,38.60,2.77
07-24-2014-10:00,36.85,2.79
07-24-2014-11:00,37.20,2.77
07-24-2014-12:00,41.22,2.82
07-24-2014-13:00,36.41,2.78
07-24-2014-14:00,37.49,2.73
07-24-2014-15:00,34.79,2.71
07-24-2014-16:00,37.02,2.77
07-24-2014-16:11,46.59,2.75
07-24-2014-17:18,46.69,2.86
07-24-2014-18:00,37.43,2.82
07-24-2014-19:00,35.97,2.79
07-24-2014-20:00,36.37,2.79
07-24-2014-21:00,36.02,2.79
07-24-2014-22:00,37.91,2.81
07-24-2014-23:00,36.14,2.44
07-25-2014-00:00,37.11,2.57
07-25-2014-01:00,38.14,2.75
07-25-2014-02:00,36.54,2.79
07-25-2014-03:00,36.69,2.80
07-25-2014-04:00,35.21,2.80
07-25-2014-05:00,36.06,2.81
07-25-2014-06:00,35.46,2.78
07-25-2014-07:00,36.14,2.75
07-25-2014-08:00,36.04,2.81
07-25-2014-09:00,35.50,2.60
07-25-2014-10:00,35.76,2.83
07-25-2014-11:00,37.27,2.82
07-25-2014-12:00,36.12,2.80
07-25-2014-13:00,36.46,2.84
07-25-2014-14:00,36.42,2.80
07-25-2014-15:00,34.46,2.71
07-25-2014-16:00,34.58,2.81
07-25-2014-17:00,37.60,2.86
07-25-2014-18:00,34.01,2.77
07-25-2014-19:00,37.27,2.79
07-25-2014-20:00,36.33,2.79
07-25-2014-21:00,36.20,2.80
07-25-2014-22:00,32.31,2.26
07-25-2014-23:00,37.11,2.78
07-26-2014-00:00,38.53,2.79
07-26-2014-01:00,36.82,2.79
07-26-2014-02:00,34.18,2.83
07-26-2014-03:00,36.17,2.79
07-26-2014-04:00,35.60,2.78
07-26-2014-05:00,35.51,2.76
07-26-2014-06:00,35.93,2.81
07-26-2014-07:00,35.66,2.81
07-26-2014-08:00,35.60,2.66
07-26-2014-09:00,36.20,2.88
07-26-2014-10:00,36.18,2.75
07-26-2014-11:00,36.36,2.79
07-26-2014-12:00,35.99,2.80
07-26-2014-13:00,36.54,2.76
07-26-2014-14:00,35.93,2.79
07-26-2014-15:00,36.46,2.79
07-26-2014-16:00,38.26,2.63
07-26-2014-17:00,36.69,2.75
07-26-2014-18:00,37.26,2.82
07-26-2014-19:00,40.95,2.77
07-26-2014-20:00,42.64,2.78
07-26-2014-21:00,45.86,2.74
07-26-2014-22:00,38.97,2.78
07-26-2014-23:00,38.84,2.77
07-27-2014-00:00,35.06,2.53
07-27-2014-01:00,35.70,2.78
07-27-2014-02:00,32.97,2.75
07-27-2014-03:00,36.31,2.65
07-27-2014-04:00,36.61,2.84
07-27-2014-05:00,37.32,2.81
07-27-2014-06:00,35.62,2.73
07-27-2014-07:00,37.07,2.83
07-27-2014-08:00,35.60,2.81
07-27-2014-09:00,35.79,2.78
07-27-2014-10:00,35.98,2.78
07-27-2014-11:00,36.46,2.79
07-27-2014-12:00,37.51,2.82
07-27-2014-13:00,36.19,2.77
07-27-2014-14:00,36.86,2.80
07-27-2014-15:00,42.59,2.78
07-27-2014-16:00,35.68,2.81
07-27-2014-17:00,37.66,2.83
